timestamp,count,event_type
37004433,4221278,cpu_time
37087414,4221279,sync_qpc_time
37087648,4221279,cpu_time
37170877,4221280,sync_qpc_time
37171136,4221280,cpu_time
37254167,4221281,sync_qpc_time
37254413,4221281,cpu_time
37337524,4221282,sync_qpc_time
37337798,4221282,cpu_time
37420835,4221283,sync_qpc_time
37421088,4221283,cpu_time
37504230,4221284,sync_qpc_time
37504486,4221284,cpu_time
37587528,4221285,sync_qpc_time
37588047,4221285,cpu_time
37670881,4221286,sync_qpc_time
37671162,4221286,cpu_time
37754311,4221287,sync_qpc_time
37754727,4221287,cpu_time
37837580,4221288,sync_qpc_time
37839326,4221288,cpu_time
37920913,4221289,sync_qpc_time
37921196,4221289,cpu_time
38004222,4221290,sync_qpc_time
38004493,4221290,cpu_time
38087622,4221291,sync_qpc_time
38087912,4221291,cpu_time
38171005,4221292,sync_qpc_time
38171332,4221292,cpu_time
38254309,4221293,sync_qpc_time
38254596,4221293,cpu_time
38337631,4221294,sync_qpc_time
38337858,4221294,cpu_time
